BearID,PTT_ID,Model,Repetition Rate (sec),Transmit hours (GMT),Transmit days,Capture Latitude,Capture Longitude,"Apply DateTime (GMT, 24-hour clock)",Sex,Age Class,Ear applied,"Recapture DateTime (GMT, 24-hour clock)",Harvest Date,Sign of Injury at Recapture
11607,96875,SPOT-227B,60,20 - 23,daily,70.87402954,-152.5647827,18Aug2009 04:05,M,A,Right,,,
20414,91349,SPOT-227B,60,18 - 21,daily,70.27183685,-142.9081482,13Apr2010 04:34,F,A,Left,,,
20414,96866,SPOT-227B,60,20 - 23,every 2nd day,70.88489075,-152.7988892,10Oct2009 03:28,F,A,Left,13Apr2010 04:34,,No
20423,96868,SPOT-227B,60,18 - 21,daily,70.40882874,-144.0433807,11Apr2010 05:31,F,A,Left,11Apr2014 11:30,,No
20446,93963,SPOT-227B,60,18 - 21,daily,70.12875214,-145.9130829,15Sep2010 02:48,F,A,Right,,,
20446,96872,SPOT-227B,60,20 - 23,daily,70.3117981,-147.8790131,04Oct2009 05:18,F,A,Right,15Sep2010 02:48,,No
20475,96882,SPOT-227C,90,18 - 21,daily,70.27631378,-143.6266479,01Apr2011 02:21,M,A,Right,,,
20493,96876,SPOT-227B,60,20 - 23,daily,71.01165771,-154.6095032,18Aug2009 07:37,F,A,Right,,,
20520,91377,SPOT-227B,60,18 - 21,daily,70.52172394,-142.3786316,17Apr2010 04:08,F,A,Left,04Apr2012 08:43,,Ear split and healed
20529,93965,SPOT-227B,60,18 - 21,daily,71.44070129,-156.466507,05Apr2010 06:31,F,A,Left,,,
20550,96878,SPOT-227C,90,18 - 21,daily,70.22418213,-143.1792145,01Apr2011 11:18,M,A,Left,,,
20631,96886,SPOT-227C,90,18 - 21,daily,70.27806702,-143.6153168,01Apr2011 07:30,M,A,Left,,,
20735,96871,SPOT-227B,60,20 - 23,daily,70.14492035,-143.5785065,29Aug2009 04:28,F,A,Right,18Oct2009 05:58,,No
20776,93964,SPOT-227B,60,18 - 21,daily,70.99292145,-158.4831635,29Mar2010 06:31,F,A,Left,,,
20845,96864,SPOT-227B,60,20 - 23,every 2nd day,69.92344818,-144.816864,09Oct2009 02:26,F,A,Right,09Apr2014 08:35,,No
20859,96870,SPOT-227B,60,18 - 21,daily,71.4067749,-156.5172974,08Apr2010 03:48,F,A,Right,,,
20968,96874,SPOT-227B,60,20 - 23,daily,70.4610611,-150.4122314,17Aug2009 02:39,M,S,Right,,,
20977,96873,SPOT-227B,60,20 - 23,every 2nd day,70.21342926,-147.2565948,06Oct2009 02:27,F,S,Right,,,
20992,80435,SPOT-227B,60,18 - 21,daily,71.50708008,-156.9908813,01Apr2010 05:52,F,A,Left,,,
20994,96867,SPOT-227B,60,18 - 21,daily,71.94403381,-156.4605957,04Apr2010 07:18,M,A,Right,28Mar2012 06:40,,Ear split and healed
21152,96863,SPOT-227B,60,18 - 21,daily,71.38644867,-156.383432,28Mar2010 02:53,F,A,Left,22Mar2011 07:14,,Ear split and healed
21157,96865,SPOT-227B,60,18 - 21,daily,71.95108795,-156.4414673,31Mar2010 10:31,F,A,Right,,,
21219,96869,SPOT-227B,60,18 - 21,daily,70.92181396,-143.0287231,18Apr2010 11:13,F,A,Right,02Apr2011 09:32,,Ear split and healed
21225,80445,SPOT-227C,60,18 - 21,daily,71.4592865,-156.3435577,24Mar2011 02:19,M,A,Right,,,
21227,96875,SPOT-227C,90,18 - 21,daily,71.46449432,-156.1370575,25Mar2011 02:59,M,A,Right,,,
21228,96876,SPOT-227C,90,18 - 21,daily,71.58817139,-156.4806122,25Mar2011 05:33,M,A,Left,,,
21231,96887,SPOT-227C,90,18 - 21,daily,71.38451386,-155.5743164,23Mar2011 06:31,M,A,Left,,,
21232,96884,SPOT-227C,90,18 - 21,daily,71.03843994,-153.1465851,24Mar2011 08:48,M,S,Left,,15Mar2012,No
21239,96880,SPOT-227C,90,18 - 21,daily,71.14048614,-153.6722504,30Mar2011 06:04,M,A,Right,21Mar2012 03:29,,Ear split and healed
32792,96877,SPOT-227B,60,20 - 23,daily,70.8676712,-152.5349274,17Aug2009 06:09,F,A,Right,,,
